NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
250,산업통상자원부,경창산업(주) 본사,대구광역시 달서구  성서로35길 6 ,2017,사업장,자동차,"22,037",tCO₂eq,-,-,452,TJ,-,-,한국생산성본부인증원(주),-
251,산업통상자원부,고려강선(주),경상남도 양산시 유산공단7길 15,2017,업체,철강,"101,572",tCO₂eq,46.59,tCO2eq/억원,"2,111",TJ,0.97,TJ/억원,로이드인증원㈜,"218,003,805,469"
252,산업통상자원부,고려기초소재,충청남도 당진시 송악읍 고대공단2길 367,2017,사업장,시멘트,"30,307",tCO₂eq,-,-,527,TJ,-,-,한국표준협회,-
253,산업통상자원부,고려아연 주식회사,서울특별시 강남구 강남대로 542,2017,업체,비철금속,"3,481,600",tCO₂eq,63.85,tCO2eq/억원,"48,424",TJ,0.89,TJ/억원,(재)한국품질재단,"5,452,393,303,000"
254,산업통상자원부,고려용접봉(주),경상남도 창원시 성산구  공단로 704 고려용접봉(주),2017,사업장,기계,"23,128",tCO₂eq,-,-,470,TJ,-,-,㈜한국품질보증원,-
255,산업통상자원부,고려제강(주),부산광역시 수영구 구락로141번길 37,2017,업체,철강,"125,547",tCO₂eq,27.34,tCO2eq/억원,"2,539",TJ,0.55,TJ/억원,로이드인증원㈜,"459,185,339,000"
256,산업통상자원부,고려특수선재(주),경상남도 양산시  어실로 43,2017,사업장,철강,"17,040",tCO₂eq,-,-,349,TJ,-,-,로이드인증원㈜,-
257,환경부,고양시,경기도 고양시 덕양구 고양시청로 10 고양시청,2017,사업장,폐기물,"253,552",tCO₂eq,-,-,"1,020",TJ,-,-,㈜한국품질보증원,-
258,국토교통부,공항철도(주),인천 서구 검바위로 46,2017,업체,교통(철도),"54,390",tCO₂eq,13.15,tCO2eq/억원,"1,116",TJ,0.27,TJ/억원,대일이엔씨기술(주),"413,563,357,000"
259,환경부,광명시,경기도 광명시 시청로 20,2017,사업장,폐기물,"66,517",tCO₂eq,-,-,338,TJ,-,-,㈜한국품질보증원,-
260,해양수산부,광양선박(주),전라남도 광양시 중동로 63 (중동),2017,업체,교통(해운),"59,693",tCO₂eq,95.52,tCO2eq/억원,821,TJ,1.31,TJ/억원,㈜디엔브이지엘비즈니스어슈어런스코리아,"62,493,216,000"
261,국토교통부,광주과학기술원,광주광역시 북구 첨단과기로 123 (오룡동),2017,사업장,건물,"20,674",tCO₂eq,-,-,422,TJ,-,-,한국표준협회,-
262,환경부,광주광역시,광주광역시 서구 내방로 111,2017,업체,폐기물,"1,011,296",tCO₂eq,-,-,"1,623",TJ,-,-,(재)한국품질재단,-
263,국토교통부,광주광역시도시철도공사,광주광역시 서구 상무대로 760 광주광역시도시철도공사,2017,사업장,교통(철도),"18,128",tCO₂eq,-,-,372,TJ,-,-,한국표준협회,-
264,산업통상자원부,광진산업(주),충청북도 단양군 매포읍 매포어상천로 126,2017,사업장,시멘트,"89,060",tCO₂eq,-,-,221,TJ,-,-,한국생산성본부인증원(주),-
265,환경부,구리시,경기도 구리시 아차산로 439,2017,사업장,폐기물,"136,985",tCO₂eq,-,-,595,TJ,-,-,㈜한국품질보증원,-
266,환경부,구미시,경상북도 구미시 송정대로 55,2017,업체,폐기물,"233,696",tCO₂eq,-,-,"1,173",TJ,-,-,㈜한국품질보증원,-
267,국토교통부,국가핵융합연구소,대전광역시 유성구 과학로 169-148 (어은동),2017,사업장,건물,"14,234",tCO₂eq,-,-,292,TJ,-,-,(주)신화엔지니어링종합건축사사무소,-
268,산업통상자원부,국도화학(주),서울특별시 금천구 가산디지털2로 61,2017,사업장,석유화학,"67,636",tCO₂eq,-,-,"1,407",TJ,-,-,로이드인증원㈜,-
269,국토교통부,국립대학법인 서울대학교,서울특별시 관악구 관악로 1(신림동),2017,사업장,건물,"140,383",tCO₂eq,-,-,"2,842",TJ,-,-,(재)한국품질재단,-
270,국토교통부,국립암센터,경기도 고양시 일산동구 일산로 323 (마두동),2017,사업장,건물,"18,352",tCO₂eq,-,-,382,TJ,-,-,이큐에이㈜,-
271,국토교통부,국방과학연구소,대전광역시 유성구 북유성대로488번길 160 (수남동),2017,사업장,건물,"19,200",tCO₂eq,-,-,387,TJ,-,-,(재)한국품질재단,-
272,산업통상자원부,국일제지(주),경기도 용인시 처인구 이동읍 백옥대로 563,2017,사업장,제지,"21,594",tCO₂eq,-,-,435,TJ,-,-,이큐에이㈜,-
273,국토교통부,국회사무처,서울특별시 영등포구 의사당대로 1 (여의도동),2017,사업장,건물,"21,371",tCO₂eq,-,-,444,TJ,-,-,한국표준협회,-
274,환경부,군산시,전라북도 군산시 시청로 17,2017,사업장,폐기물,"113,588",tCO₂eq,-,-,386,TJ,-,-,한국산업기술시험원,-
