,TRGT_YEAR,GHG_EMS
576,2016,729802
577,2016,126775
578,2016,20911
579,2016,2463988
580,2016,312752
581,2016,111525
582,2016,193868
583,2016,15085
584,2016,22903
585,2016,321246
586,2016,561737
587,2016,111198
588,2016,148532
589,2016,208678
590,2016,512903
591,2016,13380
592,2016,17922
593,2016,204943
594,2016,74568
595,2016,41928
596,2016,132887
597,2016,29213
598,2016,38631
599,2016,136320
600,2016,58418
601,2016,90394
602,2016,33697
603,2016,114928
604,2016,145903
605,2016,194999
606,2016,516847
607,2016,62004
608,2016,176879
609,2016,270661
610,2016,17598
611,2016,21378
612,2016,104766
613,2016,27440
614,2016,114468
615,2016,40853
616,2016,23706
617,2016,89532
618,2016,29689
619,2016,153873
620,2016,34603
621,2016,82991
622,2016,30247
623,2016,21282
624,2016,780
625,2016,235845
626,2016,189699
627,2016,13549
628,2016,302230
629,2016,28574
630,2016,219776
631,2016,96697
632,2016,16217
633,2016,16010
634,2016,16957
635,2016,78145
636,2016,18793
637,2016,138692
638,2016,684875
639,2016,147571
640,2016,34216
641,2016,176221
642,2016,135954
643,2016,983277
644,2016,30996
645,2016,29481
646,2016,17039
647,2016,41313
648,2016,32730
649,2016,64039
650,2016,377649
651,2016,902657
652,2016,21998
653,2016,52735
654,2016,74211
655,2016,37393
656,2016,14230
657,2016,300094
658,2016,129322
659,2016,20740
660,2016,513785
661,2016,27719
662,2016,33837
663,2016,1266
664,2016,93316
665,2016,28591
666,2016,163117
667,2016,34944
668,2016,1551617
669,2016,35905
670,2016,274058
671,2016,7504641
672,2016,1247880
673,2016,95812
674,2016,195235
675,2016,22746
676,2016,101671
677,2016,47019
678,2016,79649
679,2016,2289900
680,2016,12051
681,2016,27948
682,2016,1040527
683,2016,1084327
684,2016,53054
685,2016,36843
686,2016,437999
687,2016,141850
688,2016,315739
689,2016,71017261
690,2016,2329254
691,2016,245720
692,2016,74513
693,2016,2531
694,2016,137138
695,2016,1506475
696,2016,341877
697,2016,31314
698,2016,22856
699,2016,64550
700,2016,20366
701,2016,19387
702,2016,1803748
703,2016,8427949
